accession	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	Nucleic Acid 	Host
FJ169855.1	2583	Rotavirus A strain 02V0002G3 segment 3, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ169856.1	2354	Rotavirus A strain 02V0002G3 segment 4, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ169857.1	2122	Rotavirus A strain 02V0002G3 segment 5, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ169858.1	1348	Rotavirus A strain 02V0002G3 segment 6, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ169859.1	1089	Rotavirus A strain 02V0002G3 segment 7, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ169860.1	1042	Rotavirus A strain 02V0002G3 segment 8, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ169861.1	1066	Rotavirus A strain 02V0002G3 segment 9, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ169862.1	724	Rotavirus A strain 02V0002G3 segment 10, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ169863.1	699	Rotavirus A strain 02V0002G3 segment 11, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ170792.1	1861	Hantavirus Yuanjiang-Mf-78 segment S nucleocapsid protein mRNA, complete cds	560796	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Hantavirus Yuanjiang-Mf-78	unclassified Hantavirus Yuanjiang-Mf-78 subspecies/strain	unclassified Hantavirus Yuanjiang-Mf-78 strain	RNA	Animal
FJ170796.1	1875	Hantavirus Shenyang-Mf-136 segment S nucleocapsid protein mRNA, complete cds	560792	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Hantavirus Shenyang-Mf-136	unclassified Hantavirus Shenyang-Mf-136 subspecies/strain	unclassified Hantavirus Shenyang-Mf-136 strain	RNA	Animal
FJ183384.1	3963	Equine encephalosis virus isolate HS103/06 VP1 gene, complete cds	201490	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Equine encephalosis virus	unclassified Equine encephalosis virus subspecies/strain	unclassified Equine encephalosis virus strain	RNA	Animal
FJ183385.1	3178	Equine encephalosis virus isolate HS103/06 VP2 gene, complete cds	201490	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Equine encephalosis virus	unclassified Equine encephalosis virus subspecies/strain	unclassified Equine encephalosis virus strain	RNA	Animal
FJ183387.1	1986	Equine encephalosis virus isolate HS103/06 VP4 gene, complete cds	201490	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Equine encephalosis virus	unclassified Equine encephalosis virus subspecies/strain	unclassified Equine encephalosis virus strain	RNA	Animal
FJ183388.1	1749	Equine encephalosis virus isolate HS103/06 NS1 gene, complete cds	201490	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Equine encephalosis virus	unclassified Equine encephalosis virus subspecies/strain	unclassified Equine encephalosis virus strain	RNA	Animal
FJ183389.1	1607	Equine encephalosis virus isolate HS103/06 VP5 gene, complete cds	201490	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Equine encephalosis virus	unclassified Equine encephalosis virus subspecies/strain	unclassified Equine encephalosis virus strain	RNA	Animal
FJ188392.1	5081	Myotis polyomavirus VM-2008 isolate 14, complete genome	563775	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus myolucifugus	Myotis polyomavirus VM-2008	Myotis polyomavirus VM-2008	DNA	Animal
FJ195346.1	9136	Caprine arthritis encephalitis virus Ov496, complete genome	621214	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Caprine arthritis encephalitis virus	Caprine arthritis encephalitis virus Ov496	Caprine arthritis encephalitis virus Ov496	RNA	Animal
FJ205916.1	583	Bovine rotavirus strain KJ152 VP3 gene, partial cds	10927	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Bovine rotavirus	Bovine rotavirus	RNA	Human
FJ206066.1	1062	Bovine rotavirus strain KJ69-1 nonfunctional VP7 gene, complete sequence	10927	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Bovine rotavirus	Bovine rotavirus	RNA	Human
FJ206135.1	723	Bovine rotavirus strain KJ69-1 NSP4 gene, complete cds	10927	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Bovine rotavirus	Bovine rotavirus	RNA	Human
FJ206138.1	1059	Bovine rotavirus strain KJ69-1 NSP2 gene, complete cds	10927	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Bovine rotavirus	Bovine rotavirus	RNA	Human
FJ206143.1	1059	Bovine rotavirus strain KJ118 NSP2 gene, complete cds	10927	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Bovine rotavirus	Bovine rotavirus	RNA	Human
FJ213780.1	8944	HIV-1 isolate UY05_4752 from Uruguay, complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain	RNA	Human
FJ213781.1	8932	HIV-1 isolate UY04_3987 from Uruguay, complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain	RNA	Human
FJ213782.1	8955	HIV-1 isolate UY04_4022 from Uruguay, complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain	RNA	Human
FJ213783.1	8935	HIV-1 isolate UY03_3389 from Uruguay, complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain	RNA	Human
FJ222451.1	6171	Astrovirus MLB1, complete genome	568715	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Astrovirus MLB1	unclassified Astrovirus MLB1 subspecies/strain	unclassified Astrovirus MLB1 strain	RNA	Human
FJ230884.1	9678	Recombinant Hepatitis C virus QC69/JFH1, complete genome	595612	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	Recombinant Hepatitis C virus QC69/JFH1	Recombinant Hepatitis C virus QC69/JFH1	RNA	Human
FJ347100.1	3302	Rotavirus A strain RVA/Guanaco-wt/ARG/Chubut/1999/G8P[14] VP1 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347102.1	2591	Rotavirus A strain RVA/Guanaco-wt/ARG/Chubut/1999/G8P[14] VP3 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347103.1	2361	Rotavirus A strain RVA/Guanaco-wt/ARG/Chubut/1999/G8P[14] VP4 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347104.1	1356	Rotavirus A strain RVA/Guanaco-wt/ARG/Chubut/1999/G8P[14] VP6 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347107.1	1059	Rotavirus A strain RVA/Guanaco-wt/ARG/Chubut/1999/G8P[14] NSP2 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347112.1	2687	Rotavirus A strain RVA/Cow-wt/ARG/B383/1998/G15P[11] VP2 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347113.1	2591	Rotavirus A strain RVA/Cow-wt/ARG/B383/1998/G15P[11] VP3 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347114.1	2352	Rotavirus A strain RVA/Cow-wt/ARG/B383/1998/G15P[11] VP4 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347115.1	1356	Rotavirus A strain RVA/Cow-wt/ARG/B383/1998/G15P[11] VP6 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347116.1	1063	Rotavirus A strain RVA/Cow-wt/ARG/B383/1998/G15P[11] VP7 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347117.1	1578	Rotavirus A strain RVA/Cow-wt/ARG/B383/1998/G15P[11] NSP1 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347118.1	1059	Rotavirus A strain RVA/Cow-wt/ARG/B383/1998/G15P[11] NSP2 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347119.1	1077	Rotavirus A strain RVA/Cow-wt/ARG/B383/1998/G15P[11] NSP3 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347122.1	3302	Rotavirus A strain RVA/Guanaco-wt/ARG/Rio_Negro/1998/G8P[1] VP1 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347123.1	2687	Rotavirus A strain RVA/Guanaco-wt/ARG/Rio_Negro/1998/G8P[1] VP2 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347124.1	2591	Rotavirus A strain RVA/Guanaco-wt/ARG/Rio_Negro/1998/G8P[1] VP3 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347125.1	2362	Rotavirus A strain RVA/Guanaco-wt/ARG/Rio_Negro/1998/G8P[1] VP4 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347126.1	1356	Rotavirus A strain RVA/Guanaco-wt/ARG/Rio_Negro/1998/G8P[1] VP6 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347127.1	1062	Rotavirus A strain RVA/Guanaco-wt/ARG/Rio_Negro/1998/G8P[1] VP7 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347128.1	1587	Rotavirus A strain RVA/Guanaco-wt/ARG/Rio_Negro/1998/G8P[1] NSP1 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347130.1	1078	Rotavirus A strain RVA/Guanaco-wt/ARG/Rio_Negro/1998/G8P[1] NSP3 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347131.1	751	Rotavirus A strain RVA/Guanaco-wt/ARG/Rio_Negro/1998/G8P[1] NSP4 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ347132.1	667	Rotavirus A strain RVA/Guanaco-wt/ARG/Rio_Negro/1998/G8P[1] NSP5 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ349096.1	35758	Human adenovirus 6 strain Tonsil 99 prototype, complete genome	10534	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 6	Human adenovirus 6	DNA	Human
FJ349254.1	2311	Influenza A virus (A/mallard/ZhaLong/88/2004(H4N6)) segment 1 polymerase PB2 (PB2) gene, partial cds	566477	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/mallard/ZhaLong/88/2004(H4N6))	Influenza A virus (A/mallard/ZhaLong/88/2004(H4N6))	RNA	Animal
FJ358521.1	8858	HIV-1 isolate CH80 subtype BF from Chile, complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain	RNA	Human
FJ361201.1	3267	Rotavirus A strain 116E/AG segment 1 viral protein 1 (VP1) gene, complete cds	638299	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A strain 116E/AG	Rotavirus A strain 116E/AG	RNA	Human
FJ361202.1	2673	Rotavirus A strain 116E/AG segment 2 viral protein 2 (VP2) gene, complete cds	638299	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A strain 116E/AG	Rotavirus A strain 116E/AG	RNA	Human
FJ361203.1	2508	Rotavirus A strain 116E/AG segment 3 viral protein 3 (VP3) gene, complete cds	638299	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A strain 116E/AG	Rotavirus A strain 116E/AG	RNA	Human
FJ361204.1	2319	Rotavirus A strain 116E/AG segment 4 viral protein 4 (VP4) gene, complete cds	638299	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A strain 116E/AG	Rotavirus A strain 116E/AG	RNA	Human
FJ361205.1	1461	Rotavirus A strain 116E/AG segment 5 non-structural protein 1 (NSP1) gene, complete cds	638299	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A strain 116E/AG	Rotavirus A strain 116E/AG	RNA	Human
FJ361206.1	1194	Rotavirus A strain 116E/AG segment 6 viral protein 6 (VP6) gene, complete cds	638299	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A strain 116E/AG	Rotavirus A strain 116E/AG	RNA	Human
FJ361207.1	942	Rotavirus A strain 116E/AG segment 7 non-structural protein 3 (NSP3) gene, complete cds	638299	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A strain 116E/AG	Rotavirus A strain 116E/AG	RNA	Human
FJ361209.1	981	Rotavirus A strain 116E/AG segment 9 viral protein 7 (VP7) gene, complete cds	638299	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A strain 116E/AG	Rotavirus A strain 116E/AG	RNA	Human
FJ361210.1	528	Rotavirus A strain 116E/AG segment 10 non-structural protein 4 (NSP4) gene, complete cds	638299	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus A strain 116E/AG	Rotavirus A strain 116E/AG	RNA	Human
FJ362497.2	15276	Nariva virus from Trinidad and Tobago, complete genome	590647	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Narmovirus	Nariva narmovirus	Nariva virus	Nariva virus	RNA	Animal
FJ376619.2	26487	Bulbul coronavirus HKU11-934, complete genome	572288	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Deltacoronavirus	Bulbul coronavirus HKU11	Bulbul coronavirus HKU11-934	Bulbul coronavirus HKU11-934	RNA	Animal
FJ379293.1	8256	European hedgehog papillomavirus, complete genome	445217	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyoetapapillomavirus	Dyoetapapillomavirus 1	Erinaceus europaeus papillomavirus 1	Erinaceus europaeus papillomavirus 1	DNA	Animal
FJ387164.1	7558	Sapovirus pig/sav1/2008/CHN, complete genome	638664	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus pig/sav1/2008/CHN	Sapovirus pig/sav1/2008/CHN	RNA	Animal
FJ388945.1	8143	HIV-1 isolate CY163 from Cyprus gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), and envelope glycoprotein (env) genes, complete cds; and nef protein (nef) gene, partial cds	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain	RNA	#VALUE!
FJ393024.1	9669	Recombinant Hepatitis C Virus SA13/JFH1, complete genome	578303	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	Recombinant Hepatitis C Virus SA13/JFH1	Recombinant Hepatitis C Virus SA13/JFH1	RNA	Human
FJ407092.1	9433	Hepatitis C virus isolate IND-HCV-3i, complete genome	11103	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	unclassified Hepacivirus C subspecies/strain	unclassified Hepacivirus C strain	RNA	Human
FJ409556.1	3684	Hantavirus Human/HRP/02-72/BRA/2002 glycoprotein precursor, gene, complete cds	641884	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Hantavirus Human/HRP/02-72/BRA/2002	unclassified Hantavirus Human/HRP/02-72/BRA/2002 subspecies/strain	unclassified Hantavirus Human/HRP/02-72/BRA/2002 strain	RNA	Human
FJ410797.2	6310	Penaeus monodon hepandensovirus 4, complete genome	1513208	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Hepandensovirus	Decapod hepandensovirus 1	Penaeus monodon hepandensovirus 4	Penaeus monodon hepandensovirus 4	DNA	Animal
FJ422132.1	2687	Rotavirus A strain RVA/Rhesus-tc/USA/PTRV/1990/G8P[1] VP2 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ422133.1	2591	Rotavirus A strain RVA/Rhesus-tc/USA/PTRV/1990/G8P[1] VP3 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ422134.1	2362	Rotavirus A strain RVA/Rhesus-tc/USA/PTRV/1990/G8P[1] VP4 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
FJ423142.1	1986	Human rotavirus A strain Wa variant Wag7/8re segment dsRNA 8, complete sequence	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
FJ423147.1	2717	Human rotavirus A strain Wa variant Wag5re segment dsRNA 2, complete sequence	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
FJ423156.1	2540	Human rotavirus A strain Wa variant Wag5re segment dsRNA 5, complete sequence	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
FJ424864.1	9252	Simian immunodeficiency virus isolate SIVgorCP2139.1con, complete genome	11723	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Simian immunodeficiency virus	unclassified Simian immunodeficiency virus subspecies/strain	unclassified Simian immunodeficiency virus strain	RNA	Animal
FJ424871.1	9143	Simian immunodeficiency virus isolate SIVgorCP684con, complete genome	11723	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Simian immunodeficiency virus	unclassified Simian immunodeficiency virus subspecies/strain	unclassified Simian immunodeficiency virus strain	RNA	Animal
FJ425108.1	344	Rotavirus G8 isolate 6782/2000/ARN NSP1 gene, partial cds	71031	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G8	Rotavirus G8	RNA	Human
FJ425115.1	336	Rotavirus G8 isolate 6787/2000/ARN NSP2 gene, partial cds	71031	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G8	Rotavirus G8	RNA	Human
FJ425116.1	344	Rotavirus G8 isolate 6809/2000/ARN NSP2 gene, partial cds	71031	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G8	Rotavirus G8	RNA	Human
FJ425165.1	327	Rotavirus G8 isolate 6810/2004/ARN VP3 gene, partial cds	71031	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G8	Rotavirus G8	RNA	Human
FJ425181.1	379	Rotavirus G8 isolate 6810/2004/ARN VP6 gene, partial cds	71031	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G8	Rotavirus G8	RNA	Human
FJ434664.1	7722	Avastrovirus 3 strain C-NGB, complete genome	1239439	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Avastrovirus	Avastrovirus 3	unclassified Avastrovirus 3 subspecies/strain	unclassified Avastrovirus 3 strain	RNA	Animal
FJ435090.1	9461	Hepatitis C virus isolate KM181 genotype 6v, complete genome	11103	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	unclassified Hepacivirus C subspecies/strain	unclassified Hepacivirus C strain	RNA	Human
FJ436805.1	920	Batai virus strain 804922 nucleocapsid and nonstructural protein genes, complete cds	80942	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Batai orthobunyavirus	Batai virus	Batai virus	RNA	Insect
FJ438903.1	7335	Cosavirus A2 strain HCoSV-A2 isolate 6344 polyprotein gene, complete cds	2757770	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cosavirus	Cosavirus A	cosavirus A2	cosavirus A2	RNA	Human
FJ445112.1	7212	Human rhinovirus 5 strain ATCC VR-485, complete genome	147714	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B5	rhinovirus B5	RNA	Human
FJ445116.1	7140	Human rhinovirus 13 strain ATCC VR-1123, complete genome	185893	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A13	rhinovirus A13	RNA	Human
FJ445118.1	7119	Human rhinovirus 18 strain ATCC VR-1128, complete genome	147674	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A18	rhinovirus A18	RNA	Human
